time="2026-08-21T08:30:25.281477300+08:00" level=info msg="Start initial configuration in progress"
time="2026-08-21T08:30:25.282479800+08:00" level=info msg="Geodata Loader mode: memconservative"
time="2026-08-21T08:30:25.282479800+08:00" level=info msg="Geosite Matcher implementation: succinct"
time="2026-08-21T08:30:26.919017400+08:00" level=info msg="Load GeoIP rule: cn"
time="2026-08-21T08:30:26.938443100+08:00" level=info msg="Load GeoIP rule: telegram"
time="2026-08-21T08:30:27.000573800+08:00" level=info msg="Finished initial GeoIP rule telegram => HidePROXY, records: 12"
time="2026-08-21T08:30:27.104300100+08:00" level=info msg="Load GeoIP rule: private"
time="2026-08-21T08:30:27.115634300+08:00" level=info msg="Finished initial GeoIP rule private => DIRECT, records: 18"
time="2026-08-21T08:30:27.330427400+08:00" level=info msg="Initial configuration complete, total time: 2048ms"
time="2026-08-21T08:30:27.331457500+08:00" level=info msg="RESTful API listening at: 127.3.3.3:80"
time="2026-08-21T08:30:27.334057100+08:00" level=info msg="Sniffer is loaded and working"
time="2026-08-21T08:30:27.335107100+08:00" level=info msg="DNS server(UDP) listening at: [::]:53153"
time="2026-08-21T08:30:27.335107100+08:00" level=info msg="DNS server(TCP) listening at: [::]:53153"
time="2026-08-21T08:30:27.335107100+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:10800"
time="2026-08-21T08:30:27.358619600+08:00" level=error msg="[TUN] default interface lost by monitor"
time="2026-08-21T08:30:27.892708900+08:00" level=info msg="[TUN] Tun adapter listening at: mihomo_tun1([198.18.0.1/30],[6666:ffff:ffff:6666::1/126]), mtu: 9000, auto route: true, auto redir: false, ip stack: Mixed"
time="2026-08-21T08:30:27.892708900+08:00" level=info msg="Start initial compatible provider Warp_select"
time="2026-08-21T08:30:27.892708900+08:00" level=info msg="Start initial compatible provider VMware_PROXY"
time="2026-08-21T08:30:27.892708900+08:00" level=info msg="Start initial compatible provider HidePROXY"
time="2026-08-21T08:30:27.892708900+08:00" level=info msg="Start initial compatible provider 测试专用规则"
time="2026-08-21T08:30:27.893220800+08:00" level=info msg="Start initial compatible provider default"
time="2026-08-21T08:30:27.893220800+08:00" level=info msg="Start initial compatible provider AutoPROXY"
time="2026-08-21T08:30:27.893220800+08:00" level=info msg="Start initial compatible provider MuMuPlayer_REJECT"
time="2026-08-21T08:30:27.893220800+08:00" level=info msg="Start initial compatible provider MuMuPlayer_PROXY"
time="2026-08-21T08:30:27.922492800+08:00" level=info msg="UI already exists, skip downloading"
time="2026-08-21T08:30:27.923057100+08:00" level=info msg="[GEO] last update time 2026-08-16 14:58:01.1174346 +0800 CST"
time="2026-08-21T09:21:28.897110100+08:00" level=info msg="[TCP] 198.18.0.1:52327(MuMuVMMHeadless.exe) --> sentry.netease.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:28.952631200+08:00" level=info msg="[TCP] 198.18.0.1:52329(MuMuVMMHeadless.exe) --> sentry.netease.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.052259400+08:00" level=info msg="[TCP] 198.18.0.1:52331(MuMuVMMHeadless.exe) --> api.mumu.nie.netease.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.199934800+08:00" level=info msg="[TCP] 198.18.0.1:52333(MuMuVMMHeadless.exe) --> sentry.netease.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.242487900+08:00" level=info msg="[TCP] 198.18.0.1:52336(MuMuVMMHeadless.exe) --> dispatcher-mobile.uu.163.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.507814200+08:00" level=info msg="[TCP] 198.18.0.1:52338(MuMuVMMHeadless.exe) --> sentry.netease.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.623090900+08:00" level=info msg="[TCP] 198.18.0.1:52341(MuMuVMMHeadless.exe) --> store-api.mumu.163.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.685731900+08:00" level=info msg="[TCP] 198.18.0.1:52343(MuMuVMMHeadless.exe) --> android.googleapis.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.845684100+08:00" level=info msg="[TCP] 198.18.0.1:52345(MuMuVMMHeadless.exe) --> romsdk-mobile.uu.163.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:29.925792400+08:00" level=info msg="[TCP] 198.18.0.1:52347(MuMuVMMHeadless.exe) --> android.googleapis.com:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:30.291484900+08:00" level=info msg="[TCP] 198.18.0.1:52349(MuMuVMMHeadless.exe) --> francescograzioso.github.io:443 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
time="2026-08-21T09:21:30.622218300+08:00" level=info msg="[TCP] 198.18.0.1:52352(MuMuVMMHeadless.exe) --> mtalk.google.com:5228 match ProcessName(MuMuVMMHeadless.exe) using MuMuPlayer_PROXY[Socks5_1_40_10800]"
